timestamp,device_id,cpu_usage_idle,mem_total,mem_used,system_load1,system_load15,system_load5
1723123510,vm101,98.8977955911,4097830912,1958805504,0.12,0.2,0.36
1723123520,vm101,99.3496748374,4097830912,1959321600,0.1,0.2,0.35
1723123530,vm101,99.5493239859,4097830912,1959321600,0.09,0.2,0.34
1723123540,vm101,99.6492985971,4097830912,1959321600,0.07,0.2,0.33
1723123550,vm101,99.4497248624,4097830912,1959321600,0.06,0.19,0.32
1723123560,vm101,99.649122807,4097830912,1959321600,0.05,0.19,0.3
1723123570,vm101,99.3493493493,4097830912,1959870464,0.04,0.19,0.29
1723123580,vm101,99.5495495495,4097830912,1959870464,0.04,0.18,0.28
1723123590,vm101,99.2492492492,4097830912,1959739392,0.03,0.18,0.27
1723123600,vm101,99.39969985,4097830912,1959641088,0.02,0.18,0.26
1723123610,vm101,99.5991983967,4097830912,1959641088,0.02,0.18,0.26
1723123620,vm101,99.39969985,4097830912,1960157184,0.02,0.18,0.25
1723123630,vm101,99.2992992992,4097830912,1967804416,0.01,0.17,0.24
1723123640,vm101,99.5995995996,4097830912,1968799744,0.01,0.17,0.23
1723123650,vm101,99.4997498749,4097830912,1971539968,0.01,0.17,0.22
1723123660,vm101,99.5991983967,4097830912,1971544064,0.01,0.17,0.21
1723123670,vm101,99.4997498749,4097830912,1977221120,0.01,0.17,0.21
1723123680,vm101,99.6993987975,4097830912,1977221120,0,0.16,0.2
1723123690,vm101,99.4494494494,4097830912,1977475072,0,0.16,0.19
1723123700,vm101,99.5997999,4097830912,1977470976,0,0.16,0.19
1723123710,vm101,99.5993990986,4097830912,1977470976,0,0.16,0.18
1723123720,vm101,99.5493239859,4097830912,1977470976,0,0.16,0.17
1723123730,vm101,99.6492985971,4097830912,1977470976,0,0.15,0.17
1723123740,vm101,99.5495495495,4097830912,1977470976,0,0.15,0.16
1723123750,vm101,99.5493239859,4097830912,1977470976,0,0.15,0.15
1723123760,vm101,99.6496496496,4097830912,1977470976,0,0.15,0.15
1723123770,vm101,99.6995493239,4097830912,1977729024,0.08,0.15,0.16
1723123780,vm101,99.6492985971,4097830912,1977724928,0.3,0.17,0.2
1723123790,vm101,99.6995493239,4097830912,1977724928,0.25,0.17,0.2
1723123800,vm101,99.6496496496,4097830912,1977724928,0.21,0.16,0.19
1723123810,vm101,99.2996498249,4097830912,1978236928,0.18,0.16,0.18
1723123820,vm101,99.7493734335,4097830912,1978236928,0.15,0.16,0.18
1723123830,vm101,99.6995493239,4097830912,1978236928,0.13,0.16,0.17
1723123840,vm101,99.500249875,4097830912,1982369792,0.11,0.16,0.17
1723123850,vm101,99.5493239859,4097830912,1989050368,0.16,0.16,0.18
1723123860,vm101,99.5989974937,4097830912,2002186240,0.14,0.16,0.17
1723123870,vm101,99.39969985,4097830912,2000379904,0.12,0.16,0.16
1723123880,vm101,99.6995493239,4097830912,2002964480,0.1,0.15,0.16
1723123890,vm101,99.6496496496,4097830912,1999613952,0.08,0.15,0.15
1723123900,vm101,99.5991983967,4097830912,1999618048,0.07,0.15,0.15
1723123910,vm101,99.6494742113,4097830912,1999622144,0.06,0.15,0.14
1723123920,vm101,96.2962962963,4097830912,2007838720,0.05,0.15,0.14
1723123930,vm101,99.5989974937,4097830912,2005446656,0.04,0.14,0.13
1723123940,vm101,99.6498249124,4097830912,2014515200,0.03,0.14,0.13
1723123950,vm101,99.6496496496,4097830912,2029424640,0.03,0.14,0.12
1723123960,vm101,99.6993987975,4097830912,2024263680,0.02,0.14,0.12
1723123970,vm101,99.5495495495,4097830912,2024263680,0.02,0.14,0.11
1723123980,vm101,99.4497248624,4097830912,1996525568,0.02,0.13,0.11
1723123990,vm101,99.4992488733,4097830912,1995075584,0.01,0.13,0.11
1723124000,vm101,99.4992488733,4097830912,1968545792,0.01,0.13,0.1
1723124010,vm101,99.5493239859,4097830912,1968513024,0.01,0.13,0.1
1723124020,vm101,99.5490981963,4097830912,1968476160,0.01,0.13,0.09
1723124030,vm101,99.5,4097830912,1968476160,0.01,0.12,0.09
1723124040,vm101,99.4992488733,4097830912,1968476160,0,0.12,0.09
1723124050,vm101,99.1979949874,4097830912,1968472064,0,0.12,0.08
1723124060,vm101,99.5997999,4097830912,1968472064,0,0.12,0.08
1723124070,vm101,99.5995995996,4097830912,1969201152,0,0.12,0.08
1723124080,vm101,99.5497748874,4097830912,1969201152,0,0.11,0.07
1723124090,vm101,99.4989979959,4097830912,1991053312,0,0.11,0.07
1723124100,vm101,99.6995493239,4097830912,1991053312,0,0.11,0.07
1723124110,vm101,99.4491737606,4097830912,1995247616,0,0.11,0.07
1723124120,vm101,99.6496496496,4097830912,1988374528,0,0.11,0.06
1723124130,vm101,99.4997498749,4097830912,2009346048,0,0.1,0.06
1723124140,vm101,99.5993990986,4097830912,2009341952,0,0.1,0.06
1723124150,vm101,99.5497748874,4097830912,2009341952,0,0.1,0.06
1723124160,vm101,99.5995995996,4097830912,2009341952,0,0.1,0.05
1723124170,vm101,99.1495747873,4097830912,2009341952,0,0.1,0.05
1723124180,vm101,99.6496496496,4097830912,2009341952,0,0.1,0.05
1723124190,vm101,99.6498249124,4097830912,2009341952,0,0.09,0.05
1723124200,vm101,98.8983475212,4097830912,2009341952,0,0.09,0.05
1723124210,vm101,99.6,4097830912,2009341952,0,0.09,0.04
1723124220,vm101,95.4932398597,4097830912,2003472384,0.07,0.09,0.06
1723124230,vm101,99.5993990986,4097830912,2003701760,0.06,0.09,0.06
1723124240,vm101,99.5997999,4097830912,2003701760,0.05,0.09,0.05
1723124250,vm101,99.500249875,4097830912,2003701760,0.04,0.09,0.05
1723124260,vm101,99.4488977955,4097830912,2003636224,0.04,0.09,0.05
1723124270,vm101,99.6494742113,4097830912,2005733376,0.03,0.09,0.05
1723124280,vm101,99.6496496496,4097830912,2014121984,0.02,0.09,0.05
1723124290,vm101,99.39969985,4097830912,2014117888,0.02,0.09,0.04
1723124300,vm101,99.6992481202,4097830912,2014117888,0.02,0.08,0.04
1723124310,vm101,99.5502248875,4097830912,2014375936,0.01,0.08,0.04
1723124320,vm101,99.6494742113,4097830912,2014375936,0.01,0.08,0.04
1723124330,vm101,99.7494989979,4097830912,1982103552,0.01,0.08,0.04
1723124340,vm101,99.6496496496,4097830912,1982103552,0.01,0.08,0.04
1723124350,vm101,99.5490981963,4097830912,1982103552,0.01,0.08,0.03
1723124360,vm101,99.6498249124,4097830912,1986297856,0,0.08,0.03
1723124370,vm101,99.7494989979,4097830912,1986297856,0,0.08,0.03
1723124380,vm101,99.4497248624,4097830912,1986293760,0,0.08,0.03
1723124390,vm101,99.6496496496,4097830912,1986293760,0,0.08,0.03
1723124400,vm101,99.7494989979,4097830912,1986293760,0,0.07,0.03
1723124410,vm101,99.4992488733,4097830912,1986293760,0,0.07,0.03
1723124420,vm101,99.3496748374,4097830912,1986707456,0,0.07,0.02
1723124430,vm101,99.6995493239,4097830912,1986707456,0,0.07,0.02
1723124440,vm101,99.6995493239,4097830912,1986707456,0,0.07,0.02
1723124450,vm101,99.5997999,4097830912,1986707456,0,0.07,0.02
1723124460,vm101,99.3493493493,4097830912,1986707456,0,0.07,0.02
1723124470,vm101,99.4989979959,4097830912,1986703360,0,0.07,0.02
1723124480,vm101,99.3990986479,4097830912,1986703360,0,0.07,0.02
1723124490,vm101,99.1995997999,4097830912,1986703360,0,0.07,0.02
1723124500,vm101,99.5993990986,4097830912,1986932736,0,0.06,0.02
1723124510,vm101,99.6494742113,4097830912,1986932736,0,0.06,0.02
1723124520,vm101,99.5493239859,4097830912,1986932736,0,0.06,0.01
1723124530,vm101,99.0485728592,4097830912,1986932736,0,0.06,0.01
1723124540,vm101,99.5497748874,4097830912,1986932736,0,0.06,0.01
1723124550,vm101,99.6995493239,4097830912,1986932736,0,0.06,0.01
1723124560,vm101,99.5997999,4097830912,1986928640,0,0.06,0.01
1723124570,vm101,99.5497748874,4097830912,1986928640,0,0.06,0.01
1723124580,vm101,99.6494742113,4097830912,1986928640,0,0.06,0.01
1723124590,vm101,99.5493239859,4097830912,1986928640,0,0.06,0.01
